Date,Positive,Negative,TotalSamples,year
2020-04-17,12.0,,1403,2020
2020-04-24,27.0,,2679,2020
2020-04-27,33.0,,2848,2020
2020-01-05,33.0,,3754,2020
2020-05-16,33.0,,6677,2020
2020-05-19,33.0,,6965,2020
2020-05-20,33.0,,7082,2020
2020-05-21,33.0,,7167,2020
2020-05-22,33.0,,7263,2020
2020-05-23,33.0,,7327,2020
2020-05-24,33.0,,7327,2020
2020-05-25,33.0,,7363,2020
2020-05-26,33.0,,7448,2020
2020-05-27,33.0,,7499,2020
2020-05-28,33.0,,7519,2020
2020-05-29,33.0,,7567,2020
2020-05-30,33.0,,7567,2020
2020-05-31,33.0,,7706,2020
2020-01-06,33.0,,7805,2020
2020-02-06,33.0,,8086,2020
2020-03-06,33.0,,8295,2020
2020-04-06,33.0,,8413,2020
2020-05-06,33.0,,8694,2020
2020-06-06,33.0,,9037,2020
2020-07-06,33.0,,9242,2020
2020-08-06,33.0,,9341,2020
2020-09-06,33.0,,9859,2020
2020-10-06,35.0,,10010,2020
2020-11-06,38.0,,10226,2020
2020-12-06,38.0,,10697,2020
2020-06-13,38.0,,10955,2020
2020-06-14,38.0,,11356,2020
2020-06-15,41.0,,11518,2020
2020-06-16,44.0,,11809,2020
2020-06-17,44.0,,12239,2020
2020-06-18,45.0,,12622,2020
2020-06-19,47.0,,12930,2020
2020-06-20,47.0,,13320,2020
2020-06-21,48.0,,13434,2020
2020-06-22,48.0,,13511,2020
2020-06-23,50.0,,13723,2020
2020-06-24,56.0,,13994,2020
2020-06-25,59.0,,14277,2020
2020-06-26,72.0,,14583,2020
2020-06-27,73.0,,14851,2020
2020-06-28,83.0,,15094,2020
2020-06-29,90.0,,15410,2020
2020-06-30,97.0,,15709,2020
2020-01-07,100.0,,15982,2020
2020-02-07,109.0,,16278,2020
2020-03-07,116.0,,16626,2020
2020-04-07,119.0,,16832,2020
2020-05-07,125.0,,16909,2020
2020-06-07,141.0,,17095,2020
2020-07-07,147.0,,17381,2020
2020-08-07,149.0,,17643,2020
2020-09-07,151.0,,17852,2020
2020-10-07,156.0,,18046,2020
2020-11-07,163.0,,18315,2020
2020-12-07,163.0,,18447,2020
2020-07-13,166.0,,18609,2020
2020-07-14,171.0,,18884,2020
2020-07-15,176.0,,19061,2020
2020-07-16,180.0,,19227,2020
2020-07-17,194.0,,19421,2020
2020-07-18,198.0,,19671,2020
2020-07-19,203.0,,19904,2020
2020-07-20,207.0,,20301,2020
2020-07-21,212.0,,20642,2020
2020-07-22,221.0,,21043,2020
2020-07-23,240.0,,21310,2020
2020-07-24,259.0,,21743,2020
2020-07-25,290.0,,21965,2020
2020-07-26,324.0,,22049,2020
2020-07-27,338.0,,22548,2020
2020-07-28,363.0,,22925,2020
2020-07-29,428.0,,23217,2020
2020-07-30,471.0,,23615,2020
2020-07-31,548.0,,24038,2020
2020-01-08,636.0,,24308,2020
2020-02-08,734.0,,24580,2020
2020-03-08,830.0,,25034,2020
2020-04-08,928.0,,25492,2020
2020-05-08,1027.0,,25826,2020
2020-06-08,1123.0,,26516,2020
2020-07-08,1222.0,,26915,2020
2020-08-08,1351.0,,27073,2020
2020-09-08,1490.0,,27103,2020
2020-10-08,1625.0,,27346,2020
2020-11-08,1764.0,,27455,2020
2020-12-08,1900.0,,27744,2020
2020-08-13,2037.0,,27973,2020
2020-08-14,2186.0,,28129,2020
2020-08-15,2306.0,,28209,2020
2020-08-16,2399.0,,28229,2020
2020-08-17,2445.0,,28672,2020
2020-08-18,2529.0,,28937,2020
2020-08-19,2604.0,,29303,2020
2020-08-20,2680.0,,29487,2020
2020-08-21,2747.0,,29573,2020
2020-08-22,2808.0,,29888,2020
2020-08-23,2860.0,,30278,2020
2020-08-24,2904.0,,30513,2020
2020-08-25,2945.0,,31082,2020
2020-08-26,2985.0,,31646,2020
2020-08-27,3018.0,,31830,2020
2020-08-28,3050.0,,32100,2020
2020-08-29,3081.0,,32407,2020
2020-08-30,3104.0,,32674,2020
2020-08-31,3132.0,,33485,2020
2020-01-09,3160.0,,35104,2020
2020-02-09,,,36136,2020
2020-03-09,3223.0,,37075,2020
2020-04-09,3257.0,,37825,2020
2020-05-09,3292.0,,38574,2020
2020-06-09,3332.0,,39205,2020
2020-07-09,3359.0,,39995,2020
2020-08-09,3392.0,,41039,2020
2020-09-09,3426.0,,41776,2020
2020-10-09,3465.0,,42792,2020
2020-11-09,3494.0,,43680,2020
2020-12-09,3521.0,,44570,2020
2020-09-13,3546.0,,45279,2020
2020-09-14,3557.0,,45987,2020
2020-09-15,3574.0,,46823,2020
2020-09-16,3593.0,,47794,2020
2020-09-17,3604.0,,48861,2020
2020-09-18,3631.0,,50035,2020
2020-09-19,3644.0,,50681,2020
2020-09-20,3651.0,,51262,2020
2020-09-21,3673.0,,52220,2020
2020-09-22,3691.0,,52845,2020
2020-09-23,3712.0,,53591,2020
2020-09-24,3744.0,,52992,2020
2020-09-25,3759.0,,55169,2020
2020-09-26,3774.0,,56059,2020
2020-09-27,3794.0,,56661,2020
2020-09-28,3803.0,,57343,2020
2020-09-29,3821.0,,58135,2020
2020-09-30,3835.0,,58763,2020
2020-01-10,3848.0,,59676,2020
2020-02-10,3858.0,,60437,2020
2020-03-10,3868.0,,61231,2020
2020-04-10,3884.0,,62103,2020
2020-05-10,3899.0,,63009,2020
2020-06-10,3912.0,,63790,2020
2020-07-10,3935.0,,65111,2020
2020-08-10,3952.0,,66244,2020
2020-09-10,3976.0,,67332,2020
2020-10-10,3992.0,,68464,2020
2020-11-10,4005.0,,69146,2020
2020-12-10,4023.0,,69932,2020
2020-10-13,4036.0,,70780,2020
2020-10-14,4046.0,,71624,2020
2020-10-15,4062.0,,72525,2020
2020-10-16,4072.0,,73363,2020
2020-10-17,4083.0,,74277,2020
2020-10-18,4108.0,,75030,2020
2020-10-19,4126.0,,75977,2020
2020-10-20,4141.0,,77200,2020
2020-10-21,4168.0,,78303,2020
2020-10-22,4184.0,,79301,2020
2020-10-23,4207.0,,80768,2020
2020-10-24,4225.0,,81880,2020
2020-10-25,4245.0,,82626,2020
2020-10-26,4253.0,,83115,2020
2020-10-27,4274.0,,84308,2020
2020-10-28,4289.0,,85378,2020
2020-10-29,4305.0,,86715,2020
2020-10-30,4317.0,,87789,2020
2020-10-31,4332.0,,88453,2020
2020-01-11,4340.0,,89559,2020
2020-02-11,4352.0,,90901,2020
2020-03-11,4372.0,,92249,2020
2020-04-11,4389.0,,93406,2020
2020-05-11,4403.0,,94639,2020
2020-06-11,4420.0,,96214,2020
2020-07-11,4441.0,,97603,2020
2020-08-11,4450.0,,98812,2020
2020-09-11,4463.0,,100025,2020
2020-10-11,4477.0,,101226,2020
2020-11-11,4494.0,,102433,2020
2020-12-11,4507.0,,103599,2020
2020-11-13,4518.0,,104785,2020
2020-11-14,4527.0,,105699,2020
2020-11-15,4536.0,,106734,2020
2020-11-16,4557.0,,108080,2020
2020-11-17,4574.0,,109646,2020
2020-11-18,4593.0,,111166,2020
2020-11-19,4604.0,,112792,2020
2020-11-20,4617.0,,114392,2020
2020-11-21,4631.0,,115968,2020
2020-11-22,4641.0,,117093,2020
2020-11-23,4656.0,,118654,2020
2020-11-24,4667.0,,120324,2020
2020-11-25,4677.0,,121931,2020
2020-11-26,4682.0,,123165,2020
2020-11-27,4689.0,,124832,2020
2020-11-28,4698.0,,126331,2020
2020-11-29,4704.0,,127912,2020
2020-11-30,4710.0,,129389,2020
2020-01-12,4718.0,,131080,2020
2020-02-12,4723.0,,132784,2020
2020-03-12,4729.0,,134355,2020
2020-04-12,4742.0,,135952,2020
2020-05-12,4747.0,,137648,2020
2020-06-12,4758.0,,139326,2020
2020-07-12,4773.0,,140961,2020
2020-08-12,4778.0,,142667,2020
2020-09-12,4783.0,,144401,2020
2020-10-12,4791.0,,146143,2020
2020-11-12,4798.0,,147806,2020
2020-12-12,4805.0,,149926,2020
2020-12-13,4818.0,,152004,2020
2020-12-14,4834.0,,153685,2020
2020-12-15,4842.0,,155454,2020
2020-12-16,4850.0,,157242,2020
2020-12-17,4860.0,,159027,2020
2020-12-18,4869.0,,160856,2020
2020-12-19,4875.0,,162821,2020
2020-12-20,4881.0,,165024,2020
2020-12-21,4888.0,,166845,2020
2020-12-22,4893.0,,168769,2020
2020-12-23,4896.0,,170666,2020
2020-12-24,4901.0,,172756,2020
2020-12-25,4912.0,,174482,2020
2020-12-26,4912.0,,175578,2020
2020-12-27,4924.0,,176898,2020
2020-12-28,4929.0,,177926,2020
2020-12-29,4936.0,,179444,2020
2020-12-30,4941.0,,180626,2020
2020-12-31,4945.0,,181640,2020
2021-01-01,4946.0,,182631,2021
2021-02-01,4947.0,,183725,2021
2021-03-01,4948.0,,184955,2021
2021-04-01,4948.0,,186140,2021
2021-05-01,4949.0,,187115,2021
2021-06-01,4949.0,,188351,2021
2021-07-01,4958.0,,190031,2021
2021-08-01,4959.0,,191206,2021
2021-09-01,4959.0,,192560,2021
2021-10-01,4960.0,,193719,2021
2021-11-01,4963.0,,195351,2021
2021-12-01,4966.0,,196859,2021
2021-01-13,4969.0,,198478,2021
2021-01-14,4976.0,,199805,2021
2021-01-15,4979.0,,200953,2021
2021-01-16,4982.0,,202521,2021
2021-01-17,4983.0,,203741,2021
2021-01-18,4988.0,,205411,2021
2021-01-19,4989.0,,206732,2021
2021-01-20,4991.0,,208179,2021
2021-01-21,4991.0,,209437,2021
2021-01-22,4992.0,,210762,2021
2021-01-23,4993.0,,212393,2021
2021-01-24,4993.0,,213467,2021
2021-01-25,4994.0,,214915,2021
2021-01-26,4994.0,,215858,2021
2021-01-27,4994.0,,217007,2021
2021-01-28,4994.0,,218629,2021
2021-01-29,4994.0,,220484,2021
2021-01-30,4994.0,,221876,2021
2021-01-31,4994.0,,223137,2021
2021-01-02,4994.0,,224852,2021
2021-02-02,4994.0,,226584,2021
2021-03-02,4994.0,,228290,2021
2021-04-02,4994.0,,230133,2021
2021-05-02,4997.0,,231633,2021
2021-06-02,5000.0,,233597,2021
2021-07-02,5001.0,,235072,2021
2021-08-02,5005.0,,236643,2021
2021-09-02,5007.0,,238339,2021
2021-10-02,5007.0,,240362,2021
2021-11-02,5007.0,,241833,2021
2021-12-02,5007.0,,243631,2021
2021-02-13,5009.0,,245745,2021
2021-02-14,5009.0,,247289,2021
2021-02-15,5009.0,,248562,2021
2021-02-16,5013.0,,250037,2021
2021-02-17,5014.0,,251774,2021
2021-02-18,5014.0,,253718,2021
2021-02-19,5014.0,,255675,2021
2021-02-20,5014.0,,257213,2021
2021-02-21,5014.0,,258773,2021
2021-02-22,5015.0,,260324,2021
2021-02-23,5016.0,,261719,2021
2021-02-24,5016.0,,263090,2021
2021-02-25,5016.0,,264369,2021
2021-02-26,5017.0,,265852,2021
2021-02-27,5018.0,,267209,2021
2021-02-28,5020.0,,268499,2021
2021-01-03,5020.0,,269799,2021
2021-02-03,5020.0,,271193,2021
2021-03-03,5022.0,,273010,2021
2021-04-03,5024.0,,274849,2021
2021-05-03,5024.0,,276471,2021
2021-06-03,5024.0,,278437,2021
2021-07-03,,,280041,2021
2021-08-03,5026.0,,281955,2021
2021-09-03,5028.0,,283492,2021
2021-10-03,5028.0,,285087,2021
2021-11-03,5028.0,,286505,2021
2021-12-03,5029.0,,288197,2021
2021-03-13,5030.0,,290341,2021
2021-03-14,5031.0,,291842,2021
2021-03-15,5031.0,,294094,2021
2021-03-16,5032.0,,295827,2021
2021-03-17,5035.0,,297433,2021
2021-03-18,5036.0,,299048,2021
2021-03-19,5038.0,,300892,2021
2021-03-20,5038.0,,302566,2021
2021-03-21,5039.0,,304391,2021
2021-03-22,5039.0,,305778,2021
2021-03-23,5039.0,,307255,2021
2021-03-24,5041.0,,308812,2021
2021-03-25,5042.0,,310615,2021
2021-03-26,5043.0,,312378,2021
2021-03-27,5044.0,,314309,2021
2021-03-28,5046.0,,315818,2021
2021-03-29,5052.0,,317137,2021
2021-03-30,5081.0,,318382,2021
2021-03-31,5083.0,,319864,2021
2021-01-04,5084.0,,321456,2021
2021-02-04,5084.0,,323001,2021
2021-03-04,5098.0,,324207,2021
2021-04-04,5109.0,,325826,2021
2021-05-04,5116.0,,327270,2021
2021-06-04,5123.0,,328737,2021
2021-07-04,5131.0,,330481,2021
2021-08-04,5149.0,,332119,2021
2021-09-04,5161.0,,333671,2021
2021-10-04,5175.0,,335784,2021
2021-11-04,5190.0,,337833,2021
2021-12-04,5201.0,,339482,2021
2021-04-13,5209.0,,341557,2021
2021-04-14,5247.0,,343431,2021
2021-04-15,5262.0,,345485,2021
2021-04-16,5289.0,,347489,2021
